test,parser,wall_time,peak_rss,branch_misses,cache_misses,cache_references,instructions,cpu_cycles
nfl.csv,csv-zero (zig),775us,819KB,16.2K,784,25.0K,2.57M,1.26M
nfl.csv,zsc (c),1.78ms,1.79MB,22.4K,7.89K,52.2K,14.8M,3.99M
nfl.csv,lazycsv (cpp),2.12ms,4.71MB,47.3K,19.1K,109K,15.2M,4.69M
nfl.csv,simd-csv (rust),1.62ms,2.23MB,28.7K,8.93K,55.7K,9.21M,2.71M
nfl.csv,csv (rust),2.31ms,2.14MB,29.2K,8.76K,59.7K,22.2M,5.66M
worldcitiespop.csv,csv-zero (zig),808us,823KB,21.8K,619,17.9K,2.53M,1.43M
worldcitiespop.csv,zsc (c),1.66ms,1.80MB,23.8K,7.61K,42.8K,13.4M,3.57M
worldcitiespop.csv,lazycsv (cpp),2.30ms,4.40MB,78.6K,19.5K,97.3K,12.3M,5.41M
worldcitiespop.csv,simd-csv (rust),1.69ms,2.23MB,25.8K,8.80K,44.9K,11.6M,3.19M
worldcitiespop.csv,csv (rust),2.45ms,2.14MB,58.6K,8.61K,48.1K,19.5M,6.20M
mbta-stop-times.csv,csv-zero (zig),801us,823KB,4.37K,566,14.3K,5.84M,1.45M
mbta-stop-times.csv,zsc (c),1.67ms,1.80MB,10.4K,7.42K,36.6K,13.5M,3.64M
mbta-stop-times.csv,lazycsv (cpp),1.74ms,4.13MB,31.4K,19.0K,89.4K,10.1M,3.30M
mbta-stop-times.csv,simd-csv (rust),1.77ms,2.23MB,11.7K,8.80K,40.7K,13.1M,3.62M
mbta-stop-times.csv,csv (rust),1.93ms,2.15MB,18.5K,8.58K,41.8K,14.7M,4.14M
game.csv,csv-zero (zig),2.86ms,822KB,340,1.29K,46.8K,34.9M,8.64M
game.csv,zsc (c),6.71ms,1.74MB,3.84K,9.27K,84.2K,90.5M,21.8M
game.csv,lazycsv (cpp),3.10ms,5.93MB,15.7K,21.0K,150K,35.8M,8.14M
game.csv,simd-csv (rust),6.84ms,2.22MB,7.78K,9.36K,85.1K,97.1M,22.2M
game.csv,csv (rust),5.92ms,2.09MB,5.81K,9.33K,93.2K,79.3M,18.7M
"(~9.9 G) Mix Quotes, 12 col, 0-32 chars",csv-zero (zig),7.73s,819KB,688M,4.45M,180M,32.6G,28.5G
"(~9.9 G) Mix Quotes, 12 col, 0-32 chars",zsc (c),12.7s,1.80MB,1.01G,7.23M,221M,107G,49.6G
"(~9.9 G) Mix Quotes, 12 col, 0-32 chars",lazycsv (cpp),12.1s,10.6GB,1.13G,8.10M,341M,97.7G,49.5G
"(~9.9 G) Mix Quotes, 12 col, 0-32 chars",simd-csv (rust),12.1s,2.28MB,906M,3.32M,251M,85.7G,44.6G
"(~9.9 G) Mix Quotes, 12 col, 0-32 chars",csv (rust),17.9s,2.06MB,1.22G,3.56M,270M,155G,71.1G
"(~696 M) Mix Quotes, 2 col, 0-12 chars many rows",csv-zero (zig),574ms,819KB,46.3M,332K,12.4M,2.94G,2.07G
"(~696 M) Mix Quotes, 2 col, 0-12 chars many rows",zsc (c),1.50s,1.73MB,59.3M,634K,17.1M,17.8G,5.81G
"(~696 M) Mix Quotes, 2 col, 0-12 chars many rows",lazycsv (cpp),1.25s,733MB,122M,556K,23.7M,8.66G,5.06G
"(~696 M) Mix Quotes, 2 col, 0-12 chars many rows",simd-csv (rust),1.59s,2.25MB,63.3M,115K,15.2M,18.4G,6.05G
"(~696 M) Mix Quotes, 2 col, 0-12 chars many rows",csv (rust),2.12s,2.10MB,142M,289K,21.0M,19.9G,8.51G
"(~3.2 G) No Quotes, 52 col, 0-256 chars",csv-zero (zig),603ms,823KB,24.1M,1.25M,56.8M,2.12G,1.35G
"(~3.2 G) No Quotes, 52 col, 0-256 chars",zsc (c),1.32s,1.76MB,25.1M,2.41M,75.2M,12.7G,4.28G
"(~3.2 G) No Quotes, 52 col, 0-256 chars",lazycsv (cpp),1.65s,3.36GB,27.7M,4.54M,109M,27.4G,6.30G
"(~3.2 G) No Quotes, 52 col, 0-256 chars",simd-csv (rust),870ms,2.21MB,31.5M,1.71M,139M,4.87G,1.84G
"(~3.2 G) No Quotes, 52 col, 0-256 chars",csv (rust),2.25s,2.11MB,27.5M,1.39M,112M,35.3G,8.00G
"(~1 KB) Mix Quotes, 12 col, 0-32 chars",csv-zero (zig),427us,818KB,99.9,222,906,4.98K,9.21K
"(~1 KB) Mix Quotes, 12 col, 0-32 chars",zsc (c),579us,1.70MB,3.04K,6.02K,17.3K,140K,204K
"(~1 KB) Mix Quotes, 12 col, 0-32 chars",lazycsv (cpp),1.16ms,3.56MB,14.9K,18.8K,67.0K,2.57M,1.33M
"(~1 KB) Mix Quotes, 12 col, 0-32 chars",simd-csv (rust),897us,2.22MB,4.43K,8.22K,24.2K,316K,309K
"(~1 KB) Mix Quotes, 12 col, 0-32 chars",csv (rust),894us,2.16MB,4.68K,7.91K,23.4K,573K,364K
"(~333 K) No Quotes, 52 col, 0-256 chars",csv-zero (zig),480us,745KB,316,393,7.36K,216K,81.5K
"(~333 K) No Quotes, 52 col, 0-256 chars",zsc (c),820us,1.82MB,6.04K,6.93K,26.9K,1.41M,660K
"(~333 K) No Quotes, 52 col, 0-256 chars",lazycsv (cpp),1.37ms,3.75MB,17.6K,20.7K,78.7K,5.34M,1.92M
"(~333 K) No Quotes, 52 col, 0-256 chars",simd-csv (rust),883us,2.23MB,7.87K,8.54K,38.5K,802K,509K
"(~333 K) No Quotes, 52 col, 0-256 chars",csv (rust),1.06ms,2.16MB,7.62K,8.60K,36.4K,4.15M,1.24M
"(~ 32 M) No Quotes, 52 col, 0-256 chars",csv-zero (zig),6.62ms,823KB,242K,13.0K,572K,21.2M,13.6M
"(~ 32 M) No Quotes, 52 col, 0-256 chars",zsc (c),14.1ms,1.73MB,258K,34.0K,789K,127M,43.1M
"(~ 32 M) No Quotes, 52 col, 0-256 chars",lazycsv (cpp),18.7ms,36.9MB,293K,59.8K,1.16M,277M,65.5M
"(~ 32 M) No Quotes, 52 col, 0-256 chars",simd-csv (rust),9.94ms,2.21MB,325K,26.9K,1.43M,49.0M,19.0M
"(~ 32 M) No Quotes, 52 col, 0-256 chars",csv (rust),23.4ms,2.08MB,283K,21.9K,985K,353M,80.6M
